	Match	Place	Latitude	Longitude	Time
118	Australia vs South Africa, 2nd Test	Bellerive Oval, Hobart	-42.87630559999999	147.3733529	11:30 PM  GMT  (Nov 14)  / 10:30 AM LOCAL
119	Australia vs South Africa, 2nd Test	Bellerive Oval, Hobart	-42.87630559999999	147.3733529	11:30 PM  GMT  (Nov 15)  / 10:30 AM LOCAL
120	New Zealand vs Pakistan, 1st Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Nov 16)  / 09:30 AM LOCAL
121	New Zealand vs Pakistan, 1st Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Nov 17)  / 09:30 AM LOCAL
122	New Zealand vs Pakistan, 1st Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Nov 18)  / 09:30 AM LOCAL
123	New Zealand vs Pakistan, 1st Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Nov 19)  / 09:30 AM LOCAL
124	New Zealand vs Pakistan, 1st Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Nov 20)  / 09:30 AM LOCAL
125	Australia vs South Africa, 3rd Test	Adelaide Oval, Adelaide	-34.9543332	138.5593418	03:30 AM  GMT  / 02:00 PM LOCAL
126	Australia vs South Africa, 3rd Test	Adelaide Oval, Adelaide	-34.9543332	138.5593418	03:30 AM  GMT  / 02:00 PM LOCAL
127	New Zealand vs Pakistan, 2nd Test	Seddon Park, Hamilton	-37.7841664	175.2705288	09:30 PM  GMT  (Nov 24)  / 10:30 AM LOCAL
128	Australia vs South Africa, 3rd Test	Adelaide Oval, Adelaide	-34.9543332	138.5593418	03:30 AM  GMT  / 02:00 PM LOCAL
129	New Zealand vs Pakistan, 2nd Test	Seddon Park, Hamilton	-37.7841664	175.2705288	09:30 PM  GMT  (Nov 25)  / 10:30 AM LOCAL
130	Australia vs South Africa, 3rd Test	Adelaide Oval, Adelaide	-34.9543332	138.5593418	03:30 AM  GMT  / 02:00 PM LOCAL
131	New Zealand vs Pakistan, 2nd Test	Seddon Park, Hamilton	-37.7841664	175.2705288	09:30 PM  GMT  (Nov 26)  / 10:30 AM LOCAL
132	Australia vs South Africa, 3rd Test	Adelaide Oval, Adelaide	-34.9543332	138.5593418	03:30 AM  GMT  / 02:00 PM LOCAL
133	New Zealand vs Pakistan, 2nd Test	Seddon Park, Hamilton	-37.7841664	175.2705288	09:30 PM  GMT  (Nov 27)  / 10:30 AM LOCAL
134	New Zealand vs Pakistan, 2nd Test	Seddon Park, Hamilton	-37.7841664	175.2705288	09:30 PM  GMT  (Nov 28)  / 10:30 AM LOCAL
135	Australia vs New Zealand, 1st ODI	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	04:20 AM  GMT  / 03:20 PM LOCAL
136	Australia vs New Zealand, 2nd ODI	Manuka Oval, Canberra	-35.3190358	149.1357814	04:20 AM  GMT  / 02:20 PM LOCAL
137	Australia vs New Zealand, 3rd ODI	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	04:20 AM  GMT  / 03:20 PM LOCAL
138	Australia vs Pakistan, 1st Test	The Gabba, Brisbane	-27.4860154	153.0369591	12:00 AM  GMT  / 10:00 AM LOCAL
139	Australia vs Pakistan, 1st Test	The Gabba, Brisbane	-27.4860154	153.0369591	12:00 AM  GMT  / 10:00 AM LOCAL
140	Australia vs Pakistan, 1st Test	The Gabba, Brisbane	-27.4860154	153.0369591	12:00 AM  GMT  / 10:00 AM LOCAL
141	Australia vs Pakistan, 1st Test	The Gabba, Brisbane	-27.4860154	153.0369591	12:00 AM  GMT  / 10:00 AM LOCAL
142	Australia vs Pakistan, 1st Test	The Gabba, Brisbane	-27.4860154	153.0369591	12:00 AM  GMT  / 10:00 AM LOCAL
143	South Africa vs Sri Lanka, 1st Test	St George's Park, Port Elizabeth	-33.8252617	25.6544677	08:00 AM  GMT  / 10:00 AM LOCAL
144	Australia vs Pakistan, 2nd Test	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	12:30 AM  GMT  / 11:30 AM LOCAL
145	New Zealand vs Bangladesh, 1st ODI	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	10:00 PM  GMT  (Dec 25)  / 10:00 AM LOCAL
146	South Africa vs Sri Lanka, 1st Test	St George's Park, Port Elizabeth	-33.8252617	25.6544677	08:00 AM  GMT  / 10:00 AM LOCAL
147	Australia vs Pakistan, 2nd Test	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	12:30 AM  GMT  / 11:30 AM LOCAL
148	South Africa vs Sri Lanka, 1st Test	St George's Park, Port Elizabeth	-33.8252617	25.6544677	08:00 AM  GMT  / 10:00 AM LOCAL
149	Australia vs Pakistan, 2nd Test	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	12:30 AM  GMT  / 11:30 AM LOCAL
150	South Africa vs Sri Lanka, 1st Test	St George's Park, Port Elizabeth	-33.8252617	25.6544677	08:00 AM  GMT  / 10:00 AM LOCAL
151	Australia vs Pakistan, 2nd Test	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	12:30 AM  GMT  / 11:30 AM LOCAL
152	New Zealand vs Bangladesh, 2nd ODI	Saxton Oval, Nelson	-41.3310446	173.2127859	10:00 PM  GMT  (Dec 28)  / 10:00 AM LOCAL
153	South Africa vs Sri Lanka, 1st Test	St George's Park, Port Elizabeth	-33.8252617	25.6544677	08:00 AM  GMT  / 10:00 AM LOCAL
154	Australia vs Pakistan, 2nd Test	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	12:30 AM  GMT  / 11:30 AM LOCAL
155	New Zealand vs Bangladesh, 3rd ODI	Saxton Oval, Nelson	-41.3310446	173.2127859	10:00 PM  GMT  (Dec 30)  / 10:00 AM LOCAL
156	South Africa vs Sri Lanka, 2nd Test	Newlands, Cape Town	-33.9789129	18.4483763	08:00 AM  GMT  / 10:00 AM LOCAL
157	South Africa vs Sri Lanka, 2nd Test	Newlands, Cape Town	-33.9789129	18.4483763	08:00 AM  GMT  / 10:00 AM LOCAL
158	Australia vs Pakistan, 3rd Test	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	12:30 AM  GMT  / 11:30 AM LOCAL
159	New Zealand vs Bangladesh, 1st T20I	McLean Park, Napier	-39.50357169999999	176.9079247	02:00 AM  GMT  / 02:00 PM LOCAL
160	South Africa vs Sri Lanka, 2nd Test	Newlands, Cape Town	-33.9789129	18.4483763	08:00 AM  GMT  / 10:00 AM LOCAL
161	Australia vs Pakistan, 3rd Test	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	12:30 AM  GMT  / 11:30 AM LOCAL
162	South Africa vs Sri Lanka, 2nd Test	Newlands, Cape Town	-33.9789129	18.4483763	08:00 AM  GMT  / 10:00 AM LOCAL
163	Australia vs Pakistan, 3rd Test	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	12:30 AM  GMT  / 11:30 AM LOCAL
164	South Africa vs Sri Lanka, 2nd Test	Newlands, Cape Town	-33.9789129	18.4483763	08:00 AM  GMT  / 10:00 AM LOCAL
165	Australia vs Pakistan, 3rd Test	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	12:30 AM  GMT  / 11:30 AM LOCAL
166	New Zealand vs Bangladesh, 2nd T20I	Bay Oval, Mount Maunganui	-36.8182065	174.7292544	02:00 AM  GMT  / 03:00 PM LOCAL
167	Australia vs Pakistan, 3rd Test	Sydney Cricket Ground, Sydney	-33.8895956	151.2237779	12:30 AM  GMT  / 11:30 AM LOCAL
168	New Zealand vs Bangladesh, 3rd T20I	Bay Oval, Mount Maunganui	-36.8182065	174.7292544	02:00 AM  GMT  / 03:00 PM LOCAL
169	South Africa vs Sri Lanka, 3rd Test	New Wanderers Stadium, Johannesburg	-26.2041028	28.0473051	08:00 AM  GMT  / 10:00 AM LOCAL
170	New Zealand vs Bangladesh, 1st Test	Basin Reserve, Wellington	-41.3003208	174.7801835	09:30 PM  GMT  (Jan 11)  / 10:30 AM LOCAL
171	South Africa vs Sri Lanka, 3rd Test	New Wanderers Stadium, Johannesburg	-26.2041028	28.0473051	08:00 AM  GMT  / 10:00 AM LOCAL
172	New Zealand vs Bangladesh, 1st Test	Basin Reserve, Wellington	-41.3003208	174.7801835	09:30 PM  GMT  (Jan 12)  / 10:30 AM LOCAL
173	Australia vs Pakistan, 1st ODI	The Gabba, Brisbane	-27.4860154	153.0369591	04:20 AM  GMT  / 02:20 PM LOCAL
174	South Africa vs Sri Lanka, 3rd Test	New Wanderers Stadium, Johannesburg	-26.2041028	28.0473051	08:00 AM  GMT  / 10:00 AM LOCAL
175	New Zealand vs Bangladesh, 1st Test	Basin Reserve, Wellington	-41.3003208	174.7801835	09:30 PM  GMT  (Jan 13)  / 10:30 AM LOCAL
176	South Africa vs Sri Lanka, 3rd Test	New Wanderers Stadium, Johannesburg	-26.2041028	28.0473051	08:00 AM  GMT  / 10:00 AM LOCAL
177	New Zealand vs Bangladesh, 1st Test	Basin Reserve, Wellington	-41.3003208	174.7801835	09:30 PM  GMT  (Jan 14)  / 10:30 AM LOCAL
178	Australia vs Pakistan, 2nd ODI	Melbourne Cricket Ground, Melbourne	-37.8313202	144.9437353	04:20 AM  GMT  / 03:20 PM LOCAL
179	South Africa vs Sri Lanka, 3rd Test	New Wanderers Stadium, Johannesburg	-26.2041028	28.0473051	08:00 AM  GMT  / 10:00 AM LOCAL
180	New Zealand vs Bangladesh, 1st Test	Basin Reserve, Wellington	-41.3003208	174.7801835	09:30 PM  GMT  (Jan 15)  / 10:30 AM LOCAL
181	Australia vs Pakistan, 3rd ODI	W.A.C.A. Ground, Perth	-31.94647449999999	115.7905402	03:20 AM  GMT  / 11:20 AM LOCAL
182	South Africa vs Sri Lanka, 1st T20I	SuperSport Park, Centurion	-25.864029	28.0888578	04:00 PM  GMT  / 06:00 PM LOCAL
183	New Zealand vs Bangladesh, 2nd Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Jan 19)  / 09:30 AM LOCAL
184	New Zealand vs Bangladesh, 2nd Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Jan 20)  / 09:30 AM LOCAL
185	New Zealand vs Bangladesh, 2nd Test	Hagley Oval, Christchurch	-43.53728330000001	172.6223843	09:30 PM  GMT  (Jan 21)  / 09:30 AM LOCAL
